aluno_id,idade,objetivo,nivel_experiencia,dias_disponiveis_semana,restricao_fisica,equipamento_disponivel,treino_recomendado
31,34,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino B
32,23,Condicionamento,Iniciante,3,Lombar,Completo,Treino D
33,39,Emagrecimento,Intermediario,5,Nenhuma,Limitado,Treino B
34,21,Emagrecimento,Iniciante,5,Nenhuma,Limitado,Treino B
35,36,Condicionamento,Avancado,5,Nenhuma,Limitado,Treino C
36,28,Hipertrofia,Iniciante,6,Nenhuma,Completo,Treino A
37,23,Hipertrofia,Avancado,6,Nenhuma,Nenhum,Treino D
38,24,Emagrecimento,Avancado,3,Nenhuma,Completo,Treino B
39,34,Condicionamento,Iniciante,5,Ombro,Limitado,Treino D
40,18,Emagrecimento,Iniciante,5,Lombar,Limitado,Treino D
41,27,Emagrecimento,Iniciante,4,Joelho,Limitado,Treino D
42,22,Emagrecimento,Avancado,4,Joelho,Completo,Treino B
43,35,Condicionamento,Avancado,5,Lombar,Nenhum,Treino D
44,41,Emagrecimento,Iniciante,4,Lombar,Limitado,Treino D
45,26,Condicionamento,Iniciante,2,Lombar,Completo,Treino A
46,43,Emagrecimento,Avancado,3,Joelho,Completo,Treino B
47,36,Condicionamento,Iniciante,4,Nenhuma,Limitado,Treino C
48,32,Hipertrofia,Intermediario,3,Nenhuma,Limitado,Treino A
49,32,Condicionamento,Iniciante,4,Ombro,Completo,Treino A
50,28,Hipertrofia,Intermediario,6,Nenhuma,Nenhum,Treino C
51,38,Condicionamento,Iniciante,6,Nenhuma,Nenhum,Treino D
52,35,Hipertrofia,Iniciante,2,Nenhuma,Limitado,Treino D
53,33,Emagrecimento,Intermediario,3,Lombar,Limitado,Treino B
54,32,Condicionamento,Iniciante,5,Lombar,Completo,Treino D
55,27,Hipertrofia,Iniciante,4,Nenhuma,Limitado,Treino A
56,38,Hipertrofia,Intermediario,3,Nenhuma,Limitado,Treino A
57,32,Condicionamento,Intermediario,5,Nenhuma,Limitado,Treino C
58,35,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino B
59,26,Emagrecimento,Iniciante,6,Ombro,Nenhum,Treino A
60,35,Emagrecimento,Iniciante,1,Nenhuma,Completo,Treino D
61,18,Emagrecimento,Iniciante,2,Nenhuma,Completo,Treino B
62,39,Condicionamento,Iniciante,4,Nenhuma,Completo,Treino C
63,21,Condicionamento,Intermediario,2,Nenhuma,Completo,Treino C
64,33,Condicionamento,Iniciante,3,Nenhuma,Limitado,Treino C
65,26,Hipertrofia,Intermediario,3,Nenhuma,Limitado,Treino A
66,36,Hipertrofia,Iniciante,5,Lombar,Limitado,Treino D
67,29,Emagrecimento,Iniciante,5,Nenhuma,Completo,Treino B
68,28,Condicionamento,Intermediario,3,Nenhuma,Nenhum,Treino D
69,33,Condicionamento,Iniciante,3,Ombro,Limitado,Treino D
70,35,Hipertrofia,Intermediario,4,Ombro,Limitado,Treino C
71,37,Hipertrofia,Iniciante,2,Nenhuma,Completo,Treino D
72,34,Hipertrofia,Intermediario,5,Nenhuma,Limitado,Treino A
73,37,Condicionamento,Avancado,1,Nenhuma,Limitado,Treino C
74,42,Condicionamento,Iniciante,3,Nenhuma,Nenhum,Treino D
75,50,Hipertrofia,Iniciante,3,Joelho,Limitado,Treino D
76,22,Emagrecimento,Avancado,4,Nenhuma,Completo,Treino B
77,28,Emagrecimento,Iniciante,6,Joelho,Limitado,Treino D
78,33,Condicionamento,Intermediario,3,Nenhuma,Completo,Treino C
79,44,Hipertrofia,Intermediario,2,Nenhuma,Completo,Treino A
80,30,Hipertrofia,Intermediario,3,Nenhuma,Limitado,Treino A
81,41,Emagrecimento,Intermediario,2,Nenhuma,Completo,Treino D
82,16,Condicionamento,Avancado,5,Nenhuma,Limitado,Treino C
83,19,Hipertrofia,Avancado,4,Nenhuma,Completo,Treino A
84,28,Hipertrofia,Iniciante,4,Ombro,Completo,Treino D
85,34,Condicionamento,Intermediario,1,Nenhuma,Completo,Treino C
86,19,Hipertrofia,Iniciante,6,Nenhuma,Limitado,Treino A
87,24,Hipertrofia,Iniciante,3,Nenhuma,Limitado,Treino C
88,38,Hipertrofia,Avancado,3,Nenhuma,Completo,Treino A
89,19,Emagrecimento,Iniciante,1,Nenhuma,Completo,Treino D
90,27,Emagrecimento,Iniciante,2,Nenhuma,Completo,Treino D
91,36,Condicionamento,Iniciante,5,Nenhuma,Completo,Treino C
92,49,Condicionamento,Iniciante,3,Nenhuma,Completo,Treino C
93,19,Emagrecimento,Iniciante,2,Joelho,Limitado,Treino D
94,19,Emagrecimento,Iniciante,5,Ombro,Completo,Treino D
95,18,Hipertrofia,Intermediario,2,Joelho,Nenhum,Treino D
96,33,Hipertrofia,Intermediario,3,Lombar,Completo,Treino C
97,21,Emagrecimento,Intermediario,2,Lombar,Completo,Treino D
98,37,Hipertrofia,Iniciante,3,Nenhuma,Nenhum,Treino D
99,34,Emagrecimento,Iniciante,2,Ombro,Completo,Treino D
100,21,Condicionamento,Intermediario,3,Joelho,Limitado,Treino C
101,41,Condicionamento,Intermediario,1,Nenhuma,Limitado,Treino C
102,33,Hipertrofia,Intermediario,3,Ombro,Completo,Treino C
103,29,Emagrecimento,Iniciante,1,Joelho,Limitado,Treino D
104,33,Emagrecimento,Iniciante,5,Joelho,Completo,Treino D
105,32,Hipertrofia,Iniciante,3,Nenhuma,Completo,Treino A
106,24,Condicionamento,Avancado,6,Nenhuma,Limitado,Treino C
107,30,Emagrecimento,Iniciante,4,Ombro,Limitado,Treino D
108,27,Hipertrofia,Iniciante,4,Nenhuma,Limitado,Treino A
109,16,Condicionamento,Intermediario,4,Nenhuma,Completo,Treino C
110,33,Emagrecimento,Iniciante,6,Ombro,Completo,Treino D
111,38,Emagrecimento,Intermediario,3,Joelho,Limitado,Treino B
112,33,Hipertrofia,Intermediario,1,Nenhuma,Limitado,Treino A
113,33,Hipertrofia,Iniciante,4,Nenhuma,Limitado,Treino A
114,49,Condicionamento,Avancado,1,Nenhuma,Limitado,Treino C
115,32,Condicionamento,Iniciante,2,Nenhuma,Limitado,Treino C
116,16,Hipertrofia,Intermediario,2,Nenhuma,Completo,Treino A
117,34,Hipertrofia,Intermediario,4,Nenhuma,Completo,Treino A
118,34,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
119,33,Condicionamento,Iniciante,4,Nenhuma,Completo,Treino B
120,20,Hipertrofia,Iniciante,2,Nenhuma,Completo,Treino D
121,39,Condicionamento,Iniciante,3,Nenhuma,Completo,Treino C
122,28,Emagrecimento,Iniciante,2,Nenhuma,Completo,Treino D
123,31,Condicionamento,Iniciante,1,Nenhuma,Limitado,Treino C
124,21,Emagrecimento,Avancado,2,Lombar,Completo,Treino D
125,32,Emagrecimento,Iniciante,4,Lombar,Limitado,Treino A
126,20,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
127,35,Hipertrofia,Iniciante,2,Lombar,Completo,Treino D
128,33,Hipertrofia,Intermediario,4,Lombar,Completo,Treino C
129,34,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
130,21,Hipertrofia,Iniciante,5,Lombar,Completo,Treino D
131,36,Emagrecimento,Intermediario,3,Nenhuma,Completo,Treino B
132,29,Hipertrofia,Iniciante,4,Joelho,Completo,Treino D
133,35,Condicionamento,Iniciante,4,Joelho,Completo,Treino D
134,45,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
135,41,Emagrecimento,Avancado,3,Nenhuma,Nenhum,Treino D
136,20,Emagrecimento,Iniciante,3,Nenhuma,Limitado,Treino B
137,27,Hipertrofia,Avancado,3,Nenhuma,Completo,Treino A
138,21,Emagrecimento,Iniciante,4,Nenhuma,Nenhum,Treino D
139,24,Condicionamento,Iniciante,3,Nenhuma,Limitado,Treino A
140,39,Condicionamento,Avancado,3,Lombar,Completo,Treino C
141,30,Condicionamento,Iniciante,5,Nenhuma,Limitado,Treino C
142,18,Hipertrofia,Iniciante,2,Ombro,Limitado,Treino D
143,35,Emagrecimento,Iniciante,2,Nenhuma,Completo,Treino D
144,28,Emagrecimento,Iniciante,3,Ombro,Completo,Treino D
145,26,Emagrecimento,Iniciante,3,Joelho,Completo,Treino D
146,22,Hipertrofia,Iniciante,3,Nenhuma,Limitado,Treino A
147,21,Emagrecimento,Intermediario,5,Nenhuma,Limitado,Treino B
148,19,Condicionamento,Iniciante,1,Nenhuma,Completo,Treino C
149,16,Hipertrofia,Iniciante,1,Nenhuma,Completo,Treino D
150,35,Emagrecimento,Intermediario,5,Nenhuma,Completo,Treino C
151,26,Emagrecimento,Iniciante,5,Nenhuma,Completo,Treino B
152,40,Hipertrofia,Intermediario,1,Nenhuma,Limitado,Treino A
153,35,Hipertrofia,Iniciante,5,Nenhuma,Completo,Treino B
154,28,Emagrecimento,Intermediario,2,Lombar,Nenhum,Treino D
155,22,Hipertrofia,Iniciante,5,Nenhuma,Completo,Treino A
156,30,Hipertrofia,Intermediario,5,Nenhuma,Completo,Treino A
157,18,Emagrecimento,Iniciante,5,Nenhuma,Limitado,Treino B
158,34,Hipertrofia,Iniciante,6,Lombar,Completo,Treino D
159,32,Hipertrofia,Iniciante,2,Lombar,Limitado,Treino D
160,26,Emagrecimento,Intermediario,3,Nenhuma,Completo,Treino B
161,16,Hipertrofia,Avancado,3,Nenhuma,Limitado,Treino A
162,40,Emagrecimento,Iniciante,5,Nenhuma,Completo,Treino B
163,26,Hipertrofia,Iniciante,3,Nenhuma,Limitado,Treino A
164,29,Condicionamento,Avancado,4,Nenhuma,Completo,Treino C
165,36,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino C
166,37,Hipertrofia,Intermediario,4,Ombro,Completo,Treino C
167,31,Emagrecimento,Iniciante,1,Nenhuma,Completo,Treino D
168,28,Condicionamento,Intermediario,4,Nenhuma,Completo,Treino C
169,26,Hipertrofia,Intermediario,1,Ombro,Completo,Treino D
170,21,Hipertrofia,Intermediario,6,Nenhuma,Limitado,Treino A
171,39,Hipertrofia,Intermediario,3,Lombar,Limitado,Treino C
172,16,Emagrecimento,Avancado,4,Ombro,Completo,Treino B
173,23,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino B
174,30,Condicionamento,Avancado,2,Nenhuma,Limitado,Treino C
175,42,Hipertrofia,Iniciante,3,Nenhuma,Completo,Treino A
176,34,Emagrecimento,Intermediario,2,Nenhuma,Completo,Treino D
177,27,Emagrecimento,Intermediario,4,Nenhuma,Completo,Treino B
178,27,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
179,16,Condicionamento,Iniciante,4,Nenhuma,Limitado,Treino C
180,35,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino B
181,37,Hipertrofia,Intermediario,5,Nenhuma,Completo,Treino A
182,29,Hipertrofia,Intermediario,2,Nenhuma,Completo,Treino A
183,31,Condicionamento,Intermediario,2,Nenhuma,Limitado,Treino C
184,35,Hipertrofia,Iniciante,3,Joelho,Limitado,Treino D
185,23,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
186,19,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
187,30,Hipertrofia,Avancado,1,Nenhuma,Completo,Treino A
188,26,Condicionamento,Iniciante,4,Joelho,Limitado,Treino A
189,30,Emagrecimento,Avancado,4,Nenhuma,Limitado,Treino B
190,39,Hipertrofia,Iniciante,3,Nenhuma,Completo,Treino A
191,20,Emagrecimento,Intermediario,4,Nenhuma,Completo,Treino B
192,39,Hipertrofia,Intermediario,4,Ombro,Limitado,Treino C
193,30,Condicionamento,Intermediario,3,Ombro,Completo,Treino C
194,29,Emagrecimento,Intermediario,2,Nenhuma,Completo,Treino B
195,33,Hipertrofia,Intermediario,5,Nenhuma,Limitado,Treino A
196,35,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
197,41,Condicionamento,Iniciante,5,Nenhuma,Completo,Treino C
198,31,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino C
199,23,Hipertrofia,Iniciante,5,Joelho,Completo,Treino D
200,51,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino B
201,16,Emagrecimento,Iniciante,3,Nenhuma,Limitado,Treino A
202,30,Condicionamento,Intermediario,3,Nenhuma,Completo,Treino C
203,28,Hipertrofia,Iniciante,5,Joelho,Limitado,Treino D
204,34,Condicionamento,Iniciante,4,Nenhuma,Nenhum,Treino D
205,23,Emagrecimento,Iniciante,5,Nenhuma,Completo,Treino B
206,35,Hipertrofia,Intermediario,4,Joelho,Completo,Treino C
207,25,Condicionamento,Avancado,4,Nenhuma,Completo,Treino C
208,18,Emagrecimento,Iniciante,4,Nenhuma,Completo,Treino B
209,40,Emagrecimento,Iniciante,3,Joelho,Limitado,Treino B
210,22,Emagrecimento,Iniciante,1,Joelho,Nenhum,Treino D
211,31,Hipertrofia,Avancado,5,Joelho,Completo,Treino C
212,22,Hipertrofia,Iniciante,3,Nenhuma,Completo,Treino A
213,16,Emagrecimento,Iniciante,3,Nenhuma,Completo,Treino B
214,29,Emagrecimento,Iniciante,2,Lombar,Limitado,Treino D
215,18,Emagrecimento,Intermediario,3,Ombro,Completo,Treino B
216,33,Condicionamento,Iniciante,4,Nenhuma,Nenhum,Treino D
217,32,Condicionamento,Avancado,3,Nenhuma,Completo,Treino C
218,22,Hipertrofia,Intermediario,2,Nenhuma,Limitado,Treino A
219,16,Emagrecimento,Intermediario,5,Lombar,Completo,Treino B
220,16,Condicionamento,Iniciante,3,Ombro,Completo,Treino D
221,20,Emagrecimento,Intermediario,4,Nenhuma,Completo,Treino B
222,34,Condicionamento,Intermediario,3,Nenhuma,Limitado,Treino C
223,30,Emagrecimento,Intermediario,6,Nenhuma,Completo,Treino B
224,32,Emagrecimento,Iniciante,3,Nenhuma,Limitado,Treino B
225,39,Emagrecimento,Avancado,3,Nenhuma,Limitado,Treino B
226,21,Hipertrofia,Iniciante,5,Nenhuma,Limitado,Treino A
227,21,Emagrecimento,Avancado,2,Nenhuma,Limitado,Treino D
228,30,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
229,37,Hipertrofia,Iniciante,2,Nenhuma,Nenhum,Treino D
230,31,Emagrecimento,Iniciante,4,Lombar,Completo,Treino D
231,38,Hipertrofia,Iniciante,4,Lombar,Completo,Treino D
232,16,Emagrecimento,Intermediario,3,Nenhuma,Completo,Treino B
233,18,Hipertrofia,Intermediario,4,Nenhuma,Completo,Treino A
234,35,Hipertrofia,Intermediario,5,Nenhuma,Completo,Treino A
235,25,Emagrecimento,Iniciante,3,Nenhuma,Completo,Treino B
236,36,Emagrecimento,Avancado,3,Nenhuma,Completo,Treino B
237,49,Hipertrofia,Iniciante,1,Nenhuma,Limitado,Treino D
238,27,Hipertrofia,Intermediario,2,Nenhuma,Completo,Treino A
239,24,Emagrecimento,Intermediario,4,Nenhuma,Completo,Treino B
240,32,Emagrecimento,Iniciante,4,Joelho,Completo,Treino D
241,23,Emagrecimento,Intermediario,2,Nenhuma,Limitado,Treino D
242,26,Hipertrofia,Iniciante,3,Joelho,Completo,Treino D
243,35,Emagrecimento,Iniciante,4,Nenhuma,Limitado,Treino B
244,36,Condicionamento,Iniciante,3,Ombro,Completo,Treino D
245,19,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
246,26,Hipertrofia,Iniciante,2,Nenhuma,Completo,Treino D
247,19,Condicionamento,Iniciante,1,Nenhuma,Limitado,Treino C
248,33,Condicionamento,Intermediario,2,Nenhuma,Completo,Treino C
249,26,Condicionamento,Iniciante,4,Nenhuma,Limitado,Treino C
250,16,Condicionamento,Iniciante,4,Nenhuma,Completo,Treino C
251,32,Emagrecimento,Intermediario,3,Nenhuma,Completo,Treino B
252,36,Hipertrofia,Intermediario,2,Nenhuma,Completo,Treino A
253,35,Emagrecimento,Intermediario,4,Joelho,Nenhum,Treino D
254,25,Hipertrofia,Intermediario,4,Joelho,Completo,Treino C
255,25,Hipertrofia,Intermediario,4,Nenhuma,Nenhum,Treino D
256,40,Condicionamento,Iniciante,3,Nenhuma,Limitado,Treino A
257,21,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
258,19,Hipertrofia,Iniciante,2,Nenhuma,Completo,Treino D
259,34,Emagrecimento,Iniciante,3,Joelho,Limitado,Treino D
260,16,Condicionamento,Intermediario,4,Nenhuma,Limitado,Treino C
261,16,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
262,43,Condicionamento,Intermediario,3,Lombar,Nenhum,Treino D
263,20,Condicionamento,Avancado,4,Lombar,Limitado,Treino C
264,20,Emagrecimento,Iniciante,4,Joelho,Limitado,Treino B
265,16,Hipertrofia,Iniciante,5,Nenhuma,Completo,Treino A
266,27,Hipertrofia,Intermediario,3,Joelho,Completo,Treino C
267,24,Emagrecimento,Intermediario,5,Nenhuma,Completo,Treino B
268,20,Condicionamento,Intermediario,4,Nenhuma,Completo,Treino C
269,25,Hipertrofia,Intermediario,4,Nenhuma,Completo,Treino A
270,30,Hipertrofia,Iniciante,4,Nenhuma,Limitado,Treino A
271,34,Condicionamento,Iniciante,3,Joelho,Limitado,Treino D
272,32,Condicionamento,Avancado,5,Nenhuma,Limitado,Treino C
273,41,Emagrecimento,Iniciante,4,Lombar,Completo,Treino A
274,37,Emagrecimento,Iniciante,3,Joelho,Completo,Treino D
275,28,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
276,37,Hipertrofia,Iniciante,6,Nenhuma,Limitado,Treino A
277,16,Emagrecimento,Intermediario,1,Nenhuma,Completo,Treino D
278,24,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
279,26,Emagrecimento,Intermediario,5,Nenhuma,Nenhum,Treino D
280,39,Emagrecimento,Iniciante,4,Nenhuma,Limitado,Treino B
281,35,Hipertrofia,Iniciante,4,Nenhuma,Limitado,Treino A
282,26,Emagrecimento,Iniciante,5,Nenhuma,Limitado,Treino B
283,38,Hipertrofia,Intermediario,4,Nenhuma,Completo,Treino A
284,19,Condicionamento,Iniciante,5,Lombar,Limitado,Treino D
285,28,Emagrecimento,Iniciante,3,Nenhuma,Completo,Treino B
286,21,Condicionamento,Intermediario,2,Lombar,Completo,Treino D
287,44,Condicionamento,Iniciante,5,Nenhuma,Completo,Treino C
288,25,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
289,35,Hipertrofia,Avancado,3,Lombar,Limitado,Treino C
290,30,Condicionamento,Iniciante,4,Nenhuma,Completo,Treino A
291,40,Condicionamento,Intermediario,1,Lombar,Completo,Treino D
292,28,Emagrecimento,Iniciante,3,Nenhuma,Completo,Treino B
293,26,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
294,27,Hipertrofia,Intermediario,5,Ombro,Limitado,Treino C
295,32,Hipertrofia,Intermediario,3,Lombar,Limitado,Treino C
296,30,Hipertrofia,Iniciante,5,Nenhuma,Completo,Treino A
297,25,Hipertrofia,Intermediario,3,Nenhuma,Completo,Treino A
298,37,Emagrecimento,Iniciante,2,Nenhuma,Limitado,Treino D
299,38,Hipertrofia,Iniciante,3,Nenhuma,Completo,Treino A
300,21,Emagrecimento,Iniciante,5,Nenhuma,Completo,Treino B
